event_id,tuple_id,stakeholder,opinion,sentiment,rationale,evidence_ids,event_chain_stage,support_status,confidence
E011,E011_SOA_001,江西省联合调查组,认定食物中异物为鼠头,neutral,经勘察现场、调取监控视频和专家辨识后发布通报,ev-00243|ev-00244|ev-01572,response,candidate_partially_supported,0.85
E011,E011_SOA_002,江西工业职业技术学院,最初声明异物为鸭脖,negative,学生发现异物后学校食堂解释为鸭脖子,ev-00242,diffusion,candidate_supported,0.85
E011,E011_SOA_003,公众,对官方通报不买账，质疑结论,negative,从视频中可见毛发和牙齿特征，舆论不认可校方和官方说法,ev-00248,conflict,candidate_supported,0.85
E011,E011_SOA_004,律师,学生可依照法律法规进行十倍索赔,neutral,官方认定鼠头后，律师提出法律建议,ev-00246,resolution,candidate_supported,0.85
E012,E012_SOA_001,家长,对学校食堂使用变质肉强烈不满，要求严查严惩,negative,家长发现猪肉异味，指责学校食堂，要求调查,ev-00260|ev-00261|ev-00262,trigger,candidate_supported,0.9
E012,E012_SOA_002,长丰学校,校长回应称如有违法犯罪由法律处理,neutral,校长在家长质疑食堂问题时作出回应,ev-01593,response,candidate_supported,1.0
E012,E012_SOA_003,专家/律师,学校应承担相应责任，涉事企业面临多重责任,negative,律师解读学校需为食品安全问题担责,ev-01593,response,candidate_supported,1.0
E012,E012_SOA_004,媒体,调查实事求是，处理结果及时有力,positive,媒体评论官方调查处理工作,ev-01597,trigger,candidate_supported,1.0
E013,E013_SOA_001,学生家长,学校食堂存在鼠迹，食品安全令人担忧,negative,家长向市场监管部门反映学校食堂存在鼠迹问题,ev-00281|ev-01612,trigger,candidate_supported,0.85
E013,E013_SOA_002,海口市市场监督管理局,已前往现场检查并立案调查,neutral,官方通报接到反映后立即赶赴现场检查并立案,ev-00281|ev-01612|ev-00284,response,candidate_supported,0.9
E014,E014_SOA_001,南宁市公安局良庆分局,依法对涉案人员作出行政拘留等处理,neutral,发布情况通报称已对涉案8人依法作出行政拘留等处理,ev-00309,response,candidate_supported,0.9
E015,E015_SOA_001,肥乡区相关部门,高度重视案件并迅速侦破,neutral,发布通报说明案件发生及侦破进展,ev-00331,response,candidate_supported,1.0
E015,E015_SOA_002,网友,呼吁公正处理并制裁未成年嫌疑人,negative,网友愤怒并要求严惩嫌疑人,ev-00346,diffusion,candidate_supported,1.0
E016,E016_SOA_001,河南省政府,发布事故调查报告并处理25名责任人员,neutral,河南对外发布方城英才学校重大火灾事故调查报告，25名责任人员被处理处分,ev-00380,trigger,candidate_unclear,0.5
E016,E016_SOA_002,河南省消防救援总队,公布火灾事故调查报告全文,neutral,河南省消防救援总队于12月17日在官网公布了英才学校火灾事故调查报告全文,ev-00368,unknown,candidate_unclear,0.5
E016,E016_SOA_003,被害人代理律师,案件一审开庭审理,neutral,英才学校重大火灾事故被害人代理律师处消息，该案一审今天上午开庭审理,ev-00361,unknown,candidate_unclear,0.5
E017,E017_SOA_001,绍兴市第一中学,教师徐某在课堂发表不当言论，违反职业准则,neutral,学校通报指出教师存在不当言论，并给予处分,ev-00408|ev-00404|ev-00424|ev-00425|ev-00403|ev-00405|ev-00407|ev-00411|ev-00409|ev-00412,response,candidate_supported,0.9
E018,E018_SOA_001,暨南大学学生,宿舍环境恶劣，存在霉菌和甲醛超标，引发健康担忧,negative,学生通过社交媒体反映宿舍霉菌遍布、甲醛超标，出现皮肤过敏、发烧等症状,ev-01658|ev-00438|ev-00441,conflict,candidate_supported,0.9
E018,E018_SOA_002,暨南大学,表示正在跟进处理，但未给出明确解决方案,neutral,校方虽表示会跟进处理，但暂未给出明确解决方案,ev-00443,unknown,candidate_supported,0.8
E019,E019_SOA_001,家长,要求退还预付课时费，质疑美吉姆闭店跑路,negative,北京多门店停业，家长课时费无处可退，投诉撤店跑路,ev-00458|ev-01689|ev-00461,trigger,candidate_supported,0.85
E019,E019_SOA_002,美吉姆(中国)总部,积极寻求措施支持加盟商继续经营并督促闭店并店,neutral,总部发布声明称仍积极寻求措施支持加盟中心经营，督促闭店并店,ev-00458,trigger,candidate_supported,0.9
E020,E020_SOA_001,学生家长,反映食堂食品质量有问题，质疑食堂管理，担忧孩子健康,negative,由ev-01703中家长集中反映、质疑、担忧，及ev-00478、ev-00480中家长反映症状和问题,ev-01703|ev-00478|ev-00480,conflict,candidate_supported,0.9
E020,E020_SOA_002,四川省教育厅,高度重视并派出工作组会同成都市教育局核查处置,neutral,"ev-01691中""教育厅对此高度重视,立即派出工作组前往成都七中实验学校会同成都市教育局进行核查处置""",ev-01691,response,candidate_supported,0.9
E020,E020_SOA_003,市场监管总局,高度关注并要求四川省市场监管部门迅速调查查处食品安全违法违规行为,neutral,"ev-01695中""市场监管总局高度关注...已经要求...迅速开展调查,依法严肃查处食品安全违法违规行为""",ev-01695,diffusion,candidate_supported,0.9
E021,E021_SOA_001,无锡市医保局,根据举报线索受理调查并行政立案,neutral,无锡市医保局发布公告称已根据举报线索受理调查、初步查实并行政立案,ev-00505|ev-00498,trigger,candidate_supported,0.8
E021,E021_SOA_002,国家医保局,通报医院涉嫌欺诈骗保情况,neutral,国家医保局通报检查发现医院涉嫌违规使用医保基金2228.4万元，其中涉嫌欺诈骗保1179.2万元,ev-00501|ev-01712,response,candidate_supported,0.8
E021,E021_SOA_003,医生朱成刚,实名举报医院涉嫌欺诈骗保,negative,无锡虹桥医院放射影像科医生朱成刚长达半年的实名举报,ev-01720,conflict,candidate_unclear,0.6
E021,E021_SOA_004,国家医保局与江苏省医保局,高度重视并派出飞行检查组,neutral,国家医保局和江苏省医保局高度重视，派出飞行检查组于9月23日上午进驻无锡虹桥医院开展专项飞行检查,ev-01730,conflict,candidate_supported,0.8
E022,E022_SOA_001,武当山特区公安局,药王谷中医馆更符合虚假广告罪，已立案侦查,neutral,公安局局长蓝侠向媒体通报案件初步定性,ev-01738,conflict,candidate_supported,0.8
E022,E022_SOA_002,武当山特区多部门,感谢关注，已依法立案，正在全面调查,neutral,卫健局、市监局、公安局联合发布情况通报,ev-00519|ev-00517,response,candidate_supported,0.8
E023,E023_SOA_001,患者,质疑彩超检查时工程师违规进入检查室侵犯隐私,negative,患者产生不良就医感受并引发投诉,ev-00569|ev-00579|ev-00568,trigger,candidate_supported,0.9
E023,E023_SOA_002,东莞市中医院,通报事件并处理相关人员,neutral,东莞市中医院发布情况通报，回应患者投诉,ev-00569|ev-00579|ev-00568,response,candidate_supported,0.9
E024,E024_SOA_001,受害人家属,父亲在养老院被捆绑虐待,negative,家属反映父亲在曲沃县天慈养老院被捆绑，浑身是伤,ev-00584,trigger,candidate_supported,0.9
E024,E024_SOA_002,曲沃县公安局,对涉事护工处以行政拘留并罚款,neutral,警方通报涉事护工多次捆绑殴打老人，行拘15日罚款500元,ev-01755|ev-01768|ev-00585,response,candidate_supported,0.95
E024,E024_SOA_003,乐昌镇政府,由民政局牵头和派出所调查处理,neutral,镇政府回应此事由民政局牵头和辖区派出所正在调查,ev-00584,response,candidate_supported,0.9
E025,E025_SOA_001,举报人（余女士）,医生孙某新私下传播病人隐私照片和手术信息,negative,实名举报称孙某新传播麻醉时裸照及180份病人手术信息，侵犯隐私,ev-00610|ev-00606,diffusion,candidate_supported,0.8
E025,E025_SOA_002,上海市东方医院,暂停涉事医生医疗工作并配合调查,neutral,医院发布公告，暂停孙某新医疗工作，配合相关部门调查,ev-00604|ev-01787,response,candidate_supported,0.9
E026,E026_SOA_001,邓州市卫生健康委员会,认定存在漏诊误诊，将依法追究责任,neutral,根据初步调查发布情况说明，认定医疗事故并追责,ev-00622,response,candidate_supported,0.9
E026,E026_SOA_002,媒体,报道事件以促进社会关注,neutral,通过报道使事件广泛传播并引发关注,ev-01804|ev-00623,diffusion,candidate_supported,0.8
E026,E026_SOA_003,公众,对医疗事故表示严重关切,negative,事件经媒体报道后引发社会广泛关注,ev-01804|ev-00623,diffusion,candidate_supported,0.7
E027,E027_SOA_001,上海市卫生局和公安局,将加大打击医托力度，公布投诉电话欢迎举报,neutral,依据上海市卫生局、公安局联合发布的通告内容,ev-01823|ev-01824,conflict,candidate_supported,0.85
E028,E028_SOA_001,福州疾控,上线HPV疫苗排队预约系统以方便市民预约,neutral,系统依托福建省免疫规划信息系统，实现官方平台实名排队，优化资源配置,ev-01260|ev-01265,trigger,candidate_supported,0.95
E029,E029_SOA_001,广西医科大学第一附属医院,通报坠楼事件后续情况和调查进展,neutral,医院发布后续情况通报以回应社会关切,ev-00695,response,candidate_supported,0.9
E030,E030_SOA_001,深圳市人民检察院,部分医院挂号系统不无障碍，老年人和残疾人就医不便,negative,检察院收到线索反映部分医院线上及自助挂号机无障碍功能缺失,ev-00711|ev-00713|ev-00714,trigger,candidate_supported,0.8
E031,E031_SOA_001,明尚西苑居民,多次投诉电动车停放隐患未解决导致火灾,negative,居民连续七次投诉被物业忽视,ev-00741|ev-00750,conflict,candidate_supported,0.9
E031,E031_SOA_002,政府部门,通报火灾情况并对遇难者表示痛心,neutral,市长通报火灾造成15人遇难44人受伤并表达痛心,ev-01863,response,candidate_supported,0.9
E031,E031_SOA_003,南京市消防救援支队,发布火情快报说明火灾信息,neutral,通过公众号发布火情快报通报接警和调度情况,ev-01854,trigger,candidate_supported,0.9
E034,E034_SOA_001,居民/公众,燃气费异常，质疑气表计量和收费,negative,大量投诉和网友质疑燃气计量与收费,ev-00819|ev-00815|ev-00816|ev-00817|ev-00818|ev-00820,conflict,candidate_supported,0.95
E034,E034_SOA_002,成都市市场监督管理局,发现燃气企业存在违规估抄等问题，将开展整治,neutral,发布通报，调查核实1996件投诉，办理1189件,ev-00821|ev-00822|ev-00823|ev-00824,response,candidate_supported,0.95
E035,E035_SOA_001,居民,怀疑自来水异味是因污水进入管网,negative,市民反映自来水气味发臭，怀疑有污水进入自来水管网,ev-00835,unknown,candidate_supported,0.85
E035,E035_SOA_002,余杭水务控股集团有限公司,解释异味系水源异常而非污水进入，水质指标正常,neutral,余杭水务工作人员称自来水异味系水源异常，非污水进入，指标正常,ev-00835,unknown,candidate_supported,0.85
E035,E035_SOA_003,余杭区人民政府,通报发现水质异常后启动应急预案，切换水源，水质安全,neutral,余杭区政府发布情况通报说明发现异常、启动预案、水质安全,ev-00837,trigger,candidate_supported,0.85
E036,E036_SOA_001,媒体,滁河水污染事件中防线层层失守,negative,一道道防线竟然层层失守，最终导致滁河水体污染、鱼虾死亡,ev-00855,diffusion,candidate_supported,0.8
E036,E036_SOA_002,居民/公众,污染可能与上游来水有关,neutral,当地居民说污染可能与上游来水有关,ev-00862,diffusion,candidate_supported,0.8
E036,E036_SOA_003,政府部门,滁州市全椒县在处置滁河水污染事故时胡乱作为、性质恶劣,negative,全椒县在处置滁河水污染事故时胡乱作为、性质恶劣,ev-01931,resolution,candidate_supported,0.8
E039,E039_SOA_001,三河市应急管理局,已接报事故并正调查,neutral,三河市应急管理局通报已接报事故并正展开调查,ev-00976,response,candidate_supported,0.9
E039,E039_SOA_002,河北省应急管理厅,发布调查报告认定事故责任并追责,neutral,河北省应急管理厅发布事故调查报告，认定地铁施工致燃气泄漏引发爆燃，7人被采取刑事强制措施,ev-00949|ev-01993,trigger,candidate_supported,0.95
E039,E039_SOA_003,燕郊网友,称发生二次爆炸并提醒撤离,negative,网友发视频称发生二次爆炸，并请围观群众迅速撤离,ev-00976,response,candidate_supported,0.85
E039,E039_SOA_004,民众,对事故高度关注并提出诸多关切,negative,社会各界高度关注事故，民众有诸多关切有待解答,ev-02009,diffusion,candidate_supported,0.8
E040,E040_SOA_001,吕梁市政府,全力配合调查，尽快查明原因，给遇难者家属交代,neutral,吕梁市市长在通报会上表示将全力配合事故调查、重拳出击、尽快查明原因,ev-01329,response,candidate_supported,0.8
E041,E041_SOA_001,出租车司机,对萝卜快跑迅速普及不满并投诉,negative,因萝卜快跑积累大量用户，引发当地出租车司机不满和投诉,ev-02013,conflict,candidate_supported,0.8
E041,E041_SOA_002,武汉本地网友,对萝卜快跑持支持态度，拍手称快,positive,外地网友分支持反对，但武汉本地网友基本拍手称快,ev-01010,unknown,candidate_supported,0.8
E041,E041_SOA_003,萝卜快跑,否认恶意投诉和虚假事故，声称已核查,neutral,在微博回应近期投诉事件，称恶意投诉和虚假事故经核查不实,ev-01011,conflict,candidate_supported,0.8
E041,E041_SOA_004,网约车司机,计划车辆期满后加入萝卜快跑当安全员,positive,车子期满后要去应聘萝卜快跑,ev-01018,unknown,candidate_supported,0.8
E042,E042_SOA_001,外卖骑手,限速规定导致骑手面临行驶困难,negative,阿坤表示保持在限速内行驶具有挑战性,ev-01033,unknown,candidate_supported,0.9
E043,E043_SOA_001,政府部门,要求共享单车企业暂停新增投放,neutral,武汉市文明办等四部门联合宣布暂停共享单车投放,ev-01070,trigger,candidate_supported,0.95
E043,E043_SOA_002,居民/公众,共享单车堆积影响生活，表示不满,negative,网友爆料和居民反映共享单车堆积如山，生活受影响,ev-01073|ev-01074,conflict,candidate_supported,0.95
E043,E043_SOA_003,武汉市城管执法委,联合整治共享单车超量投放和乱停放问题,neutral,武汉市城管执法委联合交通运输等部门开展专项整治,ev-01069,response,candidate_supported,0.95
E044,E044_SOA_001,牡丹江市城市管理综合执法局,加强共享单车停放管理，督促企业落实主体责任,neutral,市综合执法管理局将加强对共享单车停放秩序的管理，包括督促运营企业和加强巡查,ev-01117,response,candidate_supported,0.9
E044,E044_SOA_002,牡丹江市城市管理综合执法局,约谈哈啰单车负责人，规范共享单车停放秩序,neutral,市城管局针对市民反映的乱停放问题约谈哈啰单车牡丹江负责人,ev-01118,response,candidate_supported,0.9
E045,E045_SOA_001,武汉东湖风景区城管执法局,对共享单车运营企业进行处罚,neutral,因运营企业多次忽视潮汐点位预警、未及时清理车辆造成通行受阻,ev-01139,trigger,candidate_supported,0.9
E045,E045_SOA_002,武汉东湖风景区城管执法局,划定共享单车停放区域并对违规用户实施禁骑,neutral,规定随意停放共享单车可能被列入禁骑名单,ev-01137,unknown,candidate_partially_supported,0.7
E045,E045_SOA_003,居民/公众,共享单车乱停放影响景区环境,negative,东湖绿道内共享单车被成堆丢弃在路边坡上、沟里,ev-01146,unknown,candidate_partially_supported,0.6
E046,E046_SOA_001,工业和信息化部,通报62款存在侵害用户权益行为的APP及SDK并责令整改,neutral,工信部对62款APP及SDK进行通报并要求按有关规定整改,ev-01159,trigger,candidate_supported,0.8
E048,E048_SOA_001,江苏省通信管理局,通报并要求整改侵害用户权益的APP,neutral,江苏省通信管理局依据法规开展APP专项检查并通报2025年第1批问题APP,ev-01198,response,candidate_supported,0.9
E049,E049_SOA_001,网约车司机,质疑平台存在阴阳账单和高抽成，损害司机利益,negative,司机投诉显示实际收入与乘客支付金额差异，抽成比例超过30%,ev-01367|ev-01371,conflict,candidate_supported,0.9
E049,E049_SOA_002,公众,对阴阳账单现象感到愤怒和不满,negative,报道称阴阳账单风波引发公众广泛关注和愤怒,ev-01368,diffusion,candidate_partially_supported,0.6
E050,E050_SOA_001,网约车司机,质疑滴滴平台抽成比例过高且不透明,negative,司机反映抽成比例超过30%且对计算方式不知情,ev-02136|ev-01237|ev-01241,trigger,candidate_supported,0.9
E050,E050_SOA_002,滴滴出行,承认部分订单抽成高于30%但仅占2.7%并承诺改进,neutral,滴滴发布说明回应抽成问题，表示将推进公开透明,ev-02131|ev-01239|ev-01240,response,candidate_supported,0.9
E050,E050_SOA_003,乘客,反映打车费用越来越贵,negative,乘客表示打车越来越贵，与司机收入难成对比,ev-02131,response,candidate_supported,0.8
E050,E050_SOA_004,媒体,揭露网约车平台高额抽成比例,neutral,新华社调查发现部分平台抽成超过20%甚至高达50%,ev-02134|ev-02131,conflict,candidate_supported,0.9
