event_id,gold_tuple_count,unique_stakeholder_count,unique_sentiment_count,unique_gold_evidence_count,tuple_without_evidence_count,missing_evidence_ref_count,source_type_distribution,domain_distribution,avg_evidence_ids_per_tuple,issue_distribution
E011,5,5,2,7,0,0,"{""mainstream_news"": 2, ""public_web"": 1, ""social_media"": 4}","{""finance.ifeng.com"": 1, ""m.gmw.cn"": 1, ""m.sohu.com"": 1, ""www.163.com"": 2, ""www.sohu.com"": 1, ""www.toutiao.com"": 1}",1.6,"{""evidence_weak_support"": 1, ""no_issue_detected"": 2, ""stakeholder_too_generic"": 2}"
E012,5,5,2,8,0,0,"{""mainstream_news"": 5, ""public_web"": 1, ""social_media"": 2}","{""law.rednet.cn"": 1, ""m.szhgh.com"": 1, ""news.ifeng.com"": 1, ""opinion.voc.com.cn"": 1, ""www.sohu.com"": 2, ""www.toutiao.com"": 2}",1.6,"{""no_issue_detected"": 1, ""sentiment_questionable"": 1, ""stakeholder_too_generic"": 3, ""too_long_or_not_atomic"": 1}"
E013,3,3,2,7,0,0,"{""mainstream_news"": 5, ""official"": 1, ""social_media"": 1}","{""m.sohu.com"": 2, ""news.cctv.com"": 1, ""www.163.com"": 1, ""www.gov.cn"": 1, ""www.hinews.cn"": 1, ""www.sohu.com"": 1}",2.3333,"{""evidence_weak_support"": 1, ""no_issue_detected"": 2}"
E014,3,3,2,6,0,0,"{""mainstream_news"": 3, ""social_media"": 3}","{""m.sohu.com"": 1, ""m.szhgh.com"": 1, ""m.thepaper.cn"": 1, ""www.sohu.com"": 1, ""www.toutiao.com"": 2}",2.3333,"{""no_issue_detected"": 2, ""stakeholder_too_generic"": 1}"
E015,3,3,1,6,0,0,"{""mainstream_news"": 1, ""official"": 1, ""social_media"": 4}","{""cn.chinadaily.com.cn"": 1, ""finance.sina.cn"": 1, ""fzsx.gov.cn"": 1, ""news.jcrb.com"": 1, ""www.nmgcb.com.cn"": 1, ""www.toutiao.com"": 1}",4.0,"{""no_issue_detected"": 2, ""too_long_or_not_atomic"": 1}"
E016,4,4,2,6,0,0,"{""mainstream_news"": 6}","{""c.m.163.com"": 1, ""k.sina.com.cn"": 1, ""m.163.com"": 3, ""www.sohu.com"": 1}",1.5,"{""no_issue_detected"": 4}"
E017,3,3,2,5,0,0,"{""mainstream_news"": 3, ""public_web"": 1, ""social_media"": 1}","{""finance.sina.com.cn"": 1, ""m.sohu.com"": 1, ""m.thepaper.cn"": 1, ""news.bjd.com.cn"": 1, ""www.163.com"": 1}",1.6667,"{""stakeholder_too_generic"": 2, ""too_long_or_not_atomic"": 1}"
E018,4,4,2,7,0,0,"{""mainstream_news"": 5, ""social_media"": 2}","{""toutiao.china.com"": 1, ""www.163.com"": 2, ""www.sohu.com"": 4}",1.75,"{""no_issue_detected"": 2, ""stakeholder_too_generic"": 1, ""too_long_or_not_atomic"": 1}"
E019,5,5,2,12,0,0,"{""mainstream_news"": 4, ""public_web"": 3, ""social_media"": 5}","{""finance.sina.com.cn"": 1, ""m.xfb315.com"": 2, ""news.fromgeek.com"": 1, ""sd.china.com"": 1, ""tousu.sina.cn"": 2, ""www.163.com"": 2, ""www.sohu.com"": 2, ""www.toutiao.com"": 1}",2.8,"{""no_issue_detected"": 2, ""stakeholder_too_generic"": 1, ""too_long_or_not_atomic"": 2}"
E020,5,5,3,13,0,0,"{""forum"": 1, ""mainstream_news"": 7, ""official"": 2, ""public_web"": 1, ""social_media"": 2}","{""cbgc.scol.com.cn"": 1, ""finance.sina.com.cn"": 1, ""ishare.ifeng.com"": 1, ""views.ce.cn"": 1, ""www.sc.gov.cn"": 1, ""www.sohu.com"": 2, ""www.thepaper.cn"": 1, ""zhuanlan.zhihu.com"": 1}",2.8,"{""no_issue_detected"": 2, ""sentiment_questionable"": 1, ""too_long_or_not_atomic"": 2}"
E021,3,3,2,5,0,0,"{""mainstream_news"": 3, ""social_media"": 2}","{""www.163.com"": 1, ""www.kankanews.com"": 1, ""www.sohu.com"": 2, ""www.toutiao.com"": 1}",1.6667,"{""no_issue_detected"": 1, ""sentiment_questionable"": 2}"
E022,3,3,1,4,0,0,"{""mainstream_news"": 2, ""social_media"": 2}","{""www.163.com"": 1, ""www.sohu.com"": 2, ""www.toutiao.com"": 1}",1.6667,"{""no_issue_detected"": 1, ""too_long_or_not_atomic"": 2}"
E023,5,5,3,8,0,0,"{""social_media"": 8}","{""www.163.com"": 2, ""www.chinanews.com.cn"": 1, ""www.toutiao.com"": 5}",3.6,"{""no_issue_detected"": 1, ""sentiment_questionable"": 1, ""stakeholder_too_generic"": 3, ""too_long_or_not_atomic"": 4}"
E024,3,3,2,5,0,0,"{""mainstream_news"": 2, ""public_web"": 2, ""social_media"": 1}","{""m.thepaper.cn"": 1, ""www.163.com"": 1, ""www.chinanews.com.cn"": 1, ""www.my399.com"": 1, ""www.thepaper.cn"": 1}",2.0,"{""no_issue_detected"": 2, ""too_long_or_not_atomic"": 1}"
E025,3,3,2,4,0,0,"{""mainstream_news"": 2, ""public_web"": 1, ""social_media"": 1}","{""news.southcn.com"": 1, ""police.news.sohu.com"": 1, ""www.sohu.com"": 1, ""www.toutiao.com"": 1}",1.3333,"{""no_issue_detected"": 1, ""stakeholder_too_generic"": 1, ""too_long_or_not_atomic"": 1}"
E026,3,2,2,6,0,0,"{""social_media"": 6}","{""www.163.com"": 3, ""www.guancha.cn"": 1, ""www.toutiao.com"": 2}",2.0,"{""no_issue_detected"": 3}"
E027,4,4,3,5,0,0,"{""mainstream_news"": 3, ""social_media"": 2}","{""finance.sina.com.cn"": 1, ""lz.newssc.org"": 1, ""www.sohu.com"": 1, ""www.toutiao.com"": 2}",1.75,"{""evidence_weak_support"": 1, ""no_issue_detected"": 1, ""sentiment_questionable"": 2, ""stakeholder_too_generic"": 1, ""too_long_or_not_atomic"": 1}"
E028,3,3,2,5,0,0,"{""mainstream_news"": 1, ""social_media"": 4}","{""fjnews.fjsen.com"": 1, ""news.fznews.com.cn"": 2, ""women.fjsen.com"": 1, ""www.163.com"": 1}",1.6667,"{""no_issue_detected"": 2, ""sentiment_questionable"": 1}"
E029,3,2,3,13,0,0,"{""mainstream_news"": 8, ""public_web"": 4, ""social_media"": 1}","{""finance.sina.com.cn"": 1, ""m.163.com"": 2, ""m.shaoxing.com.cn"": 1, ""m.sohu.com"": 2, ""m.thepaper.cn"": 1, ""news.medlive.cn"": 1, ""www.gxmuyfy.cn"": 2, ""www.thepaper.cn"": 2}",5.3333,"{""no_issue_detected"": 3}"
E030,3,3,2,2,0,0,"{""mainstream_news"": 1, ""official"": 1}","{""news.qq.com"": 1, ""www.shenzhen.jcy.gov.cn"": 1}",1.6667,"{""no_issue_detected"": 1, ""too_long_or_not_atomic"": 2}"
E031,4,4,3,6,0,0,"{""mainstream_news"": 2, ""public_web"": 1, ""social_media"": 3}","{""baike.sogou.com"": 1, ""finance.sina.com.cn"": 1, ""www.163.com"": 1, ""www.sohu.com"": 1, ""www.toutiao.com"": 2}",1.75,"{""no_issue_detected"": 2, ""sentiment_questionable"": 1, ""too_long_or_not_atomic"": 1}"
E032,4,4,2,6,0,0,"{""mainstream_news"": 2, ""official"": 3, ""public_web"": 1}","{""www.meizhou.gov.cn"": 1, ""www.sohu.com"": 2, ""y.meizhou.cn"": 1, ""yjgl.gd.gov.cn"": 1, ""yjj.benxi.gov.cn"": 1}",2.0,"{""no_issue_detected"": 2, ""sentiment_questionable"": 1, ""too_long_or_not_atomic"": 1}"
E033,5,5,3,9,0,0,"{""mainstream_news"": 1, ""official"": 5, ""public_web"": 3}","{""gx.jiceng.zhengzhou.gov.cn"": 1, ""gxw.xinyu.gov.cn"": 2, ""jx.ifeng.com"": 1, ""www.fire114.cn"": 1, ""www.jxtcms.net"": 1, ""www.mem.gov.cn"": 2, ""www.sohu.com"": 1}",1.8,"{""no_issue_detected"": 4, ""too_long_or_not_atomic"": 1}"
E034,5,4,2,5,0,0,"{""forum"": 1, ""public_interaction"": 2, ""public_web"": 1, ""social_media"": 1}","{""bz.mala.cn"": 1, ""finance.sina.cn"": 1, ""finance.sina.com.cn"": 2, ""gubapost.eastmoney.com"": 1}",1.8,"{""no_issue_detected"": 3, ""sentiment_questionable"": 1, ""stakeholder_too_generic"": 1}"
E035,4,4,2,5,0,0,"{""mainstream_news"": 4, ""social_media"": 1}","{""news.qq.com"": 2, ""www.bjnews.com.cn"": 1, ""www.eeo.com.cn"": 1, ""www.toutiao.com"": 1}",1.75,"{""no_issue_detected"": 2, ""too_long_or_not_atomic"": 2}"
E036,4,4,2,7,0,0,"{""mainstream_news"": 2, ""official"": 2, ""public_web"": 1, ""social_media"": 2}","{""finance.sina.com.cn"": 1, ""mhuanbao.bjx.com.cn"": 1, ""news.enorth.com.cn"": 1, ""slj.xinyang.gov.cn"": 1, ""sthjj.chuzhou.gov.cn"": 1, ""www.chuzhou.gov.cn"": 1, ""www.sohu.com"": 1}",1.75,"{""no_issue_detected"": 4}"
E037,4,4,2,8,0,0,"{""mainstream_news"": 4, ""official"": 1, ""public_web"": 3}","{""dnr.henan.gov.cn"": 1, ""news.bjd.com.cn"": 1, ""news.sohu.com"": 1, ""www.163wenku.com"": 1, ""www.7cxk.com"": 1, ""www.fire114.cn"": 1, ""www.sohu.com"": 1, ""www.thepaper.cn"": 1}",2.0,"{""no_issue_detected"": 1, ""too_long_or_not_atomic"": 3}"
E038,4,4,2,5,0,0,"{""mainstream_news"": 1, ""official"": 2, ""social_media"": 2}","{""m.toutiao.com"": 1, ""mem.gov.cn"": 1, ""www.sohu.com"": 1, ""www.toutiao.com"": 1, ""yjgl.anqing.gov.cn"": 1}",1.75,"{""evidence_weak_support"": 1, ""no_issue_detected"": 1, ""sentiment_questionable"": 1, ""stakeholder_too_generic"": 1, ""too_long_or_not_atomic"": 2}"
E039,5,5,2,9,0,0,"{""mainstream_news"": 4, ""official"": 2, ""public_web"": 1, ""social_media"": 2}","{""m.aqrzj.com"": 1, ""news.china.com"": 1, ""news.sohu.com"": 1, ""www.163.com"": 1, ""www.cqlvshiwang.cn"": 1, ""www.eco.gov.cn"": 1, ""www.sohu.com"": 2, ""yjglj.xa.gov.cn"": 1}",2.0,"{""evidence_weak_support"": 1, ""no_issue_detected"": 4}"
E040,4,4,3,5,0,0,"{""official"": 3, ""public_web"": 1, ""social_media"": 1}","{""www.chinamine-safety.gov.cn"": 2, ""www.stdaily.com"": 1, ""www.toutiao.com"": 1, ""yjt.shanxi.gov.cn"": 1}",1.5,"{""no_issue_detected"": 3, ""too_long_or_not_atomic"": 1}"
E041,5,5,3,10,0,0,"{""forum"": 1, ""official"": 1, ""public_web"": 2, ""social_media"": 6}","{""m.shenchuang.com"": 1, ""m.toutiao.com"": 1, ""www.163.com"": 4, ""www.toutiao.com"": 1, ""www.wuhan.gov.cn"": 1, ""www.zhihu.com"": 1, ""xueqiu.com"": 1}",2.0,"{""no_issue_detected"": 3, ""sentiment_questionable"": 1, ""stakeholder_too_generic"": 1}"
E042,5,5,2,7,0,0,"{""mainstream_news"": 1, ""official"": 4, ""social_media"": 2}","{""finance.sina.com.cn"": 1, ""scjgj.gz.gov.cn"": 2, ""www.gz.gov.cn"": 2, ""www.toutiao.com"": 2}",1.6,"{""no_issue_detected"": 2, ""sentiment_questionable"": 1, ""too_long_or_not_atomic"": 2}"
E043,4,3,2,9,0,0,"{""mainstream_news"": 3, ""official"": 2, ""public_interaction"": 4}","{""cgw.wuhan.gov.cn"": 1, ""jtj.wuhan.gov.cn"": 1, ""m.163.com"": 1, ""m.toutiao.com"": 1, ""news.qq.com"": 2, ""view.inews.qq.com"": 1, ""www.sohu.com"": 1, ""www.toutiao.com"": 1}",2.25,"{""stakeholder_too_generic"": 2, ""too_long_or_not_atomic"": 2}"
E044,5,4,2,7,0,0,"{""mainstream_news"": 1, ""official"": 5, ""social_media"": 1}","{""credit.gongzhuling.gov.cn"": 1, ""jt.hlj.gov.cn"": 1, ""m.toutiao.com"": 1, ""www.hlj.gov.cn"": 1, ""www.mdj.gov.cn"": 2, ""www.thepaper.cn"": 1}",1.6,"{""no_issue_detected"": 3, ""stakeholder_too_generic"": 1, ""too_long_or_not_atomic"": 1}"
E045,5,3,3,4,0,0,"{""mainstream_news"": 1, ""official"": 3}","{""cgw.wuhan.gov.cn"": 2, ""www.hubei.gov.cn"": 1, ""www.thepaper.cn"": 1}",1.0,"{""no_issue_detected"": 4, ""sentiment_questionable"": 1}"
E046,3,3,2,2,0,0,"{""mainstream_news"": 1, ""social_media"": 1}","{""finance.eastmoney.com"": 1, ""www.163.com"": 1}",1.0,"{""no_issue_detected"": 1, ""stakeholder_too_generic"": 2, ""too_long_or_not_atomic"": 2}"
E047,3,3,2,7,0,0,"{""mainstream_news"": 4, ""official"": 2, ""social_media"": 1}","{""c.m.163.com"": 1, ""m.163.com"": 1, ""m.thepaper.cn"": 1, ""www.gov.cn"": 1, ""www.henan.gov.cn"": 1, ""www.sohu.com"": 1, ""www.toutiao.com"": 1}",2.6667,"{""sentiment_questionable"": 1, ""stakeholder_too_generic"": 1, ""too_long_or_not_atomic"": 3}"
E048,3,3,3,4,0,0,"{""mainstream_news"": 1, ""official"": 1, ""public_web"": 1, ""social_media"": 1}","{""new.qq.com"": 1, ""qizibao.com"": 1, ""www.gov.cn"": 1, ""www.toutiao.com"": 1}",1.6667,"{""evidence_weak_support"": 1, ""no_issue_detected"": 1, ""sentiment_questionable"": 1, ""too_long_or_not_atomic"": 1}"
E049,5,4,3,8,0,0,"{""mainstream_news"": 4, ""public_interaction"": 1, ""public_web"": 1, ""social_media"": 2}","{""guancha.gmw.cn"": 1, ""news.youth.cn"": 1, ""sichuan.scol.com.cn"": 1, ""tech.ifeng.com"": 1, ""www.163.com"": 1, ""www.eeo.com.cn"": 1, ""www.toutiao.com"": 1, ""www.workercn.cn"": 1}",1.6,"{""no_issue_detected"": 3, ""stakeholder_too_generic"": 1, ""too_long_or_not_atomic"": 1}"
E050,3,3,2,4,0,0,"{""mainstream_news"": 1, ""public_web"": 2, ""social_media"": 1}","{""www.ashea.com.cn"": 1, ""www.cppcns.com"": 1, ""www.hebtv.com"": 1, ""www.thepaper.cn"": 1}",1.3333,"{""no_issue_detected"": 2, ""stakeholder_too_generic"": 1}"
